job_title,company,job_location,job_summary,job_salary,post_date,today,job_url
data analyst - informatics and systems,Quantasphere Business Solutions Inc.,"Remote in Burnaby, BC","Research and document data requirements, data collection and administration policy, and data access rules.
Operate database management systems to analyze data.",$38 an hour,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=ba2d4581ea242860&fccid=4a325899619d1242&vjs=3
"Data Analyst, Marketing",Bench Accounting,"Remote in Vancouver, BC",Having a strong understanding of our business metrics and how data can be used to support strategic decision making in marketing.,"$72,720–$90,900 a year",Posted2 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=ac8e86810d3de7b7&fccid=8050ea68bc1f1986&vjs=3
Consumer Data Analyst,Herschel Supply Company,"Vancouver, BC","Herschel Supply is searching for a Consumer Data Analyst to drive a data-driven approach to our marketing campaigns and support our brand, digital, and finance…",,Posted30+ days ago,2022-07-01,https://ca.indeed.com/company/Herschel-Supply-Company---Social-Engagement/jobs/Consumer-Data-Analyst-ac14f5df1145cd8d?fccid=2de679da0b404a0f&vjs=3
Inventory Analyst,Purdys Chocolatier,"Vancouver, BC","As the Inventory Analyst, primary responsibilities include but are not limited to: • Auditing and developing inventory control processes to drive continuous…",,Posted18 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=8d327d936fe151c3&fccid=74498c43cc4d6079&vjs=3
VOC & Insights Support Analyst,WorkSafeBC,"Richmond, BC",Sourcing data from multiple sources to increase the data granularity and understanding; translating data into analytics using data warehousing programming…,$31.30–$38.91 an hour,Posted8 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=c8ac9e63b026e7e1&fccid=3978229785e77296&vjs=3
Data Analyst,Kal Tire,"Vancouver, BC","The ability to gather, manipulate and transform data for use in reporting and research models.
Strong data engineering or ETL skills.",,Posted9 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=8be9db5a06394a81&fccid=c288d8a94e53b663&vjs=3
Data Analyst,"Routeware, Inc","Remote in Vancouver, BC","Supporting our Customer Support team when tricky data issues arise.
Investigating data-related problems and fixing or escalating them.",,EmployerActive 5 days ago,2022-07-01,https://ca.indeed.com/company/Routeware/jobs/Data-Analyst-69b8c4902970d441?fccid=8de382f75abfcfb2&vjs=3
Master Data Analyst,West Fraser,"Vancouver, BC","Initiate data quality improvements, collect/document data quality rules and report on data quality metrics.
Experience with data analysis techniques.",,Posted3 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=5086f85a573c2f4c&fccid=2d6618af508c37db&vjs=3
Operations Analyst,British Columbia Institute of Technology (BCIT),"Hybrid remote in Burnaby, BC","Demonstrated ability to perform data analysis and translate raw data into meaningful narrative analysis.
Assembles data and prepares analysis of the monthly…","$57,937–$62,941 a year",Posted7 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=1bd7bca6fbf028b6&fccid=a874193b682c9f05&vjs=3
Business Analyst,Alba Inc.,"Vancouver, BC",This includes but not limited to: data remediation exercise across upstream data like trade and Counterparty reference data; good amount of UAT testing on Droit…,,EmployerActive 4 days ago,2022-07-01,https://ca.indeed.com/company/Alba-Inc./jobs/Business-Analyst-418b3cb366320bf1?fccid=31a6c93063710441&vjs=3
